eid,id,date,name,ned,org,datatype,cn0,cn1,cn2,distmin,gl,rs0,rs1,rs2,nt10,nt11,nt20,nt21,nt30,nt31,nt40,nt41,nt50,nt51,nt60,nt61,nt70,nt71
12,stvincent,2014-07-12,Saint-Vincent,,CFW,1,0,0,11388,710,905000,2014-07-12 07:35,2014-07-12 07:35,2014-07-12 07:35,2014-07-12 05:13,2014-07-12 22:53,2014-07-13 05:14,2014-07-13 22:52,2014-07-14 05:15,2014-07-14 22:51,2014-07-15 05:16,2014-07-15 22:50,2014-07-16 05:17,2014-07-16 22:49,,,,
13,stvincent,2015-07-10,Saint-Vincent,,CFW,1,0,0,10737,710,905000,2015-07-10 06:45,2015-07-10 06:45,2015-07-10 06:45,2015-07-10 05:10,2015-07-10 22:55,2015-07-11 05:11,2015-07-11 22:54,2015-07-12 05:12,2015-07-12 22:53,2015-07-13 05:13,2015-07-13 22:52,2015-07-14 05:14,2015-07-14 22:52,2015-07-15 05:16,2015-07-15 22:51,,
14,marseille,2013-07-19,Marseille,,CFW,7,0,0,8848,675,860000,2013-07-19 07:00,2013-07-19 07:00,2013-07-19 07:00,2013-07-19 05:21,2013-07-19 22:46,2013-07-20 05:22,2013-07-20 22:45,2013-07-21 05:23,2013-07-21 22:44,2013-07-22 05:25,2013-07-22 22:42,2013-07-23 05:26,2013-07-23 22:41,2013-07-24 05:27,2013-07-24 22:40,,
15,marseille,2014-07-18,Marseille,,CFW,7,0,0,12054,675,860000,2014-07-18 06:45,2014-07-18 06:45,2014-07-18 06:45,2014-07-18 05:19,2014-07-18 22:47,2014-07-19 05:21,2014-07-19 22:46,2014-07-20 05:22,2014-07-20 22:45,2014-07-21 05:23,2014-07-21 22:44,2014-07-22 05:24,2014-07-22 22:43,2014-07-23 05:26,2014-07-23 22:41,2014-07-24 05:27,2014-07-24 22:40
16,marseille,2015-07-17,Marseille,,CFW,7,0,0,10104,675,860000,2015-07-17 06:40,2015-07-17 06:40,2015-07-17 06:40,2015-07-17 05:18,2015-07-17 22:49,2015-07-18 05:19,2015-07-18 22:48,2015-07-19 05:20,2015-07-19 22:47,2015-07-20 05:22,2015-07-20 22:45,2015-07-21 05:23,2015-07-21 22:44,2015-07-22 05:24,2015-07-22 22:43,,
33,vierzon,2016-05-15,Vierzon,,CFW,1,0,2644,6422,,0,2016-05-15 08:00,2016-05-15 08:00,2016-05-15 08:00,2016-05-15 05:18,2016-05-15 23:59,,,,,,,,,,,,
34,limoges,2016-05-28,Limoges,,EB,1,0,0,13493,,635000,2016-05-28 07:30,2016-05-28 07:30,2016-05-28 07:30,2016-05-28 05:08,2016-05-28 22:43,2016-05-29 05:07,2016-05-29 22:44,2016-05-30 05:06,2016-05-30 22:45,2016-05-31 05:05,2016-05-31 22:46,2016-06-01 05:04,2016-06-01 22:47,2016-06-02 05:04,2016-06-02 22:48,,
35,valence,2016-06-06,Valence,,CFW,1,0,0,6236,,660000,2016-06-06 07:15,2016-06-06 07:15,2016-06-06 07:15,2016-06-06 05:01,2016-06-06 22:52,2016-06-07 05:01,2016-06-07 22:53,2016-06-08 05:00,2016-06-08 22:54,2016-06-09 05:00,2016-06-09 22:54,,,,,,
36,bourges,2016-06-10,Bourges,AWC,AWC,1,0,4208,3373,,440000,2016-06-10 08:15,2016-06-10 08:15,2016-06-10 08:15,2016-06-10 00:00,2016-06-10 23:59,,,,,,,,,,,,
37,cahors,2016-06-10,Cahors,,CC,1,0,0,6164,,735000,2016-06-10 06:40,2016-06-10 06:40,2016-06-10 06:40,2016-06-10 00:00,2016-06-10 23:59,,,,,,,,,,,,
38,bourges,2015-05-30,Bourges,I,BU-UB,2,0,21522,18826,,440000,2015-05-30 11:35,2015-05-30 11:35,2015-05-30 11:35,2015-05-30 00:00,2015-05-30 23:59,,,,,,,,,,,,
39,bourges,2014-05-31,Bourges,I,BU-UB,2,0,24019,22663,,440000,2014-05-31 08:00,2014-05-31 08:00,2014-05-31 08:00,2014-05-31 00:00,2014-05-31 23:59,,,,,,,,,,,,
40,bourges,2013-05-25,Bourges,I,BU-UB,2,0,13588,19655,,440000,2013-05-25 09:05,2013-05-25 09:05,2013-05-25 09:05,2013-05-25 00:00,2013-05-25 23:59,,,,,,,,,,,,
